Bogie_No,Class,Manufactured_Year,Station_Code
41111,SL,2013,PNQ
41112,SL,2019,MUM
41113,SL,2011,HYD
41114,SL,2017,BAN
41115,SL,2012,NDL
41116,SL,2019,JAI
41117,SL,2011,PNQ
41118,SL,2011,MUM
41119,SL,2018,HYD
41120,SL,2014,BAN
41121,SL,2019,NDL
41122,SL,2013,JAI
41123,SL,2018,PNQ
41124,SL,2013,MUM
41125,SL,2012,HYD
41126,SL,2010,BAN
41127,SL,2010,NDL
41128,SL,2015,JAI
41129,SL,2010,PNQ
41130,SL,2019,MUM
41131,SL,2019,HYD
41132,SL,2015,BAN
41133,SL,2016,NDL
41134,SL,2014,JAI
41135,SL,2013,PNQ
41136,SL,2019,MUM
41137,SL,2013,HYD
41138,SL,2010,BAN
41139,SL,2016,NDL
41140,SL,2010,JAI
41141,SL,2018,PNQ
41142,SL,2012,MUM
41143,SL,2012,HYD
41144,SL,2011,BAN
41145,SL,2008,NDL
41146,SL,2006,JAI
41147,SL,2004,PNQ
41148,SL,2003,MUM
41149,SL,2007,HYD
31111,3AC,2001,PNQ
31112,3AC,2006,MUM
31113,3AC,2007,HYD
31114,3AC,2009,BAN
31115,3AC,2014,NDL
31116,3AC,2018,JAI
31117,3AC,2016,PNQ
31118,3AC,2018,MUM
31119,3AC,2011,HYD
31120,3AC,2013,BAN
31121,3AC,2015,NDL
31122,3AC,2015,JAI
31123,3AC,2015,PNQ
31124,3AC,2012,MUM
31125,3AC,2010,HYD
31126,3AC,2014,BAN
31127,3AC,2015,NDL
31128,3AC,2012,JAI
31129,3AC,2014,PNQ
31130,3AC,2018,MUM
31131,3AC,2013,HYD
31132,3AC,2018,BAN
31133,3AC,2017,NDL
31134,3AC,2013,JAI
31135,3AC,2016,PNQ
31136,3AC,2016,MUM
31137,3AC,2010,HYD
31138,3AC,2016,BAN
31139,3AC,2019,NDL
31140,3AC,2015,JAI
31141,3AC,2010,PNQ
31142,3AC,2013,MUM
31143,3AC,2017,HYD
31144,3AC,2014,BAN
31145,3AC,2013,NDL
31146,3AC,2016,JAI
31147,3AC,2014,PNQ
31148,3AC,2018,MUM
31149,3AC,2013,HYD
31150,3AC,2017,BAN
31151,3AC,2015,NDL
31152,3AC,2019,JAI
31153,3AC,2010,PNQ
31154,3AC,2015,MUM
31155,3AC,2017,HYD
31156,3AC,2013,BAN
31157,3AC,2010,NDL
31158,3AC,2014,JAI
31159,3AC,2012,PNQ
31160,3AC,2010,MUM
31161,3AC,2018,HYD
31162,3AC,2013,BAN
31163,3AC,2016,NDL
31164,3AC,2015,JAI
31165,3AC,2018,PNQ
31166,3AC,2017,MUM
21111,2AC,2015,MUM
21112,2AC,2013,HYD
21113,2AC,2012,BAN
21114,2AC,2012,NDL
21115,2AC,2013,MUM
21116,2AC,2011,HYD
21117,2AC,2017,BAN
21118,2AC,2015,NDL
21119,2AC,2010,MUM
21120,2AC,2018,HYD
21121,2AC,2011,BAN
21122,2AC,2019,NDL
21123,2AC,2019,MUM
21124,2AC,2013,HYD
21125,2AC,2018,BAN
21126,2AC,2019,NDL
21127,2AC,2014,MUM
21128,2AC,2011,HYD
21129,2AC,2018,BAN
21130,2AC,2018,NDL
21131,2AC,2019,MUM
21132,2AC,2018,HYD
21133,2AC,2013,BAN
21134,2AC,2017,NDL
21135,2AC,2010,MUM
21136,2AC,2015,HYD
21137,2AC,2019,BAN
21138,2AC,2018,NDL
21139,2AC,2014,MUM
21140,2AC,2013,HYD
21141,2AC,2017,BAN
21142,2AC,2019,NDL
21143,2AC,2013,MUM
21144,2AC,2014,HYD
21145,2AC,2013,BAN
21146,2AC,2013,NDL
21147,2AC,2014,MUM
21148,2AC,2014,HYD
21149,2AC,2003,BAN
21150,2AC,2009,NDL
21151,2AC,2008,MUM
11111,1AC,2019,NDL
11112,1AC,2011,MUM
11113,1AC,2012,NDL
11114,1AC,2017,MUM
11115,1AC,2010,NDL
11116,1AC,2011,MUM
11117,1AC,2016,NDL
11118,1AC,2019,MUM
11119,1AC,2018,NDL
11120,1AC,2014,MUM
11121,1AC,2015,NDL
11122,1AC,2012,MUM
11123,1AC,2019,NDL
11124,1AC,2018,MUM
11125,1AC,2019,NDL
11126,1AC,2015,MUM
11127,1AC,2011,NDL
11128,1AC,2011,MUM
11129,1AC,2010,NDL
11130,1AC,2019,MUM
11131,1AC,2015,NDL
11132,1AC,2018,MUM
11133,1AC,2018,NDL
11134,1AC,2014,MUM
11135,1AC,2016,NDL
11136,1AC,2017,MUM
11137,1AC,2017,NDL
11138,1AC,2018,MUM
11139,1AC,2013,NDL
11140,1AC,2015,MUM
11141,1AC,2014,NDL
11142,1AC,2013,MUM
11143,1AC,2005,NDL
11144,1AC,2006,MUM
