TRAIN_NO,TRAIN_NAME,START_DATE,END_DATE,TYPE,RUNTIME,NO_OF_SL_SEATS,NO_OF_3AC_SEATS,NO_OF_2AC_SEATS,NO_OF_1AC_SEATS,ROUTE_NO,SCHEDULED_DEPT_TIME,SCHEDULED_ARR_TIME
11111,DELHI-MUMBAI-RAJDHANI,,,RAJDHANI,14,0,6,4,2,111,7:00:00 PM,9:00:00 AM
11112,MUMBAI-DELHI-RAJDHANI,,,RAJDHANI,14,0,6,4,2,112,7:00:00 PM,9:00:00 AM
11113,DELHI-BANGLORE-RAJDHANI,,,RAJDHANI,16,0,6,4,2,113,5:00:00 PM,9:00:00 AM
11114,BANGLORE-DELHI-RAJDHANI,,,RAJDHANI,16,0,6,4,2,114,5:00:00 PM,9:00:00 AM
11115,DELHI-HYD-RAJDHANI,,,RAJDHANI,15,0,6,4,2,115,6:00:00 PM,9:00:00 AM
11116,HYD-DELHI-RAJDHANI,,,RAJDHANI,15,0,6,4,2,116,6:00:00 PM,9:00:00 AM
11117,MUMBAI-HYD-SUPERFAST,,,SUPERFAST,10,4,6,4,1,117,12:00:00 PM,10:00:00 PM
11118,HYD-MUMBAI-SUPERFAST,,,SUPERFAST,10,4,6,4,1,118,9:00:00 PM,7:00:00 AM
11119,MUMBAI-BANGLORE-SUPERFAST,,,SUPERFAST,10,4,6,4,1,119,1:00:00 PM,11:00:00 PM
11120,BANGLORE-MUMBAI-SUPERFAST,,,SUPERFAST,10,4,6,4,1,120,10:00:00 PM,8:00:00 AM
11121,PUNE-MUMBAI-HOLIDAY,1-Jan-20,31-Mar-20,EXPRESS,4,8,6,2,1,121,6:00:00 AM,10:00:00 AM
11122,MUMBAI-PUNE-HOLIDAY,1-Jan-20,31-Mar-20,EXPRESS,4,8,6,2,1,122,6:00:00 PM,10:00:00 PM
11123,DELHI-JAIPUR-HOLIDAY,1-May-20,30-Jun-20,EXPRESS,5,8,6,2,1,123,5:00:00 AM,10:00:00 AM
11124,JAIPUR-DELHI-HOLIDAY,1-May-20,30-Jun-20,EXPRESS,5,8,6,2,1,124,5:00:00 PM,10:00:00 PM
11125,DELHI-MUMBAI-EXPRESS,,,EXPRESS,16,8,6,2,1,111,5:00:00 PM,9:00:00 AM
11126,MUMBAI-DELHI-EXPRESS,,,EXPRESS,16,8,6,2,1,112,5:00:00 PM,9:00:00 AM
11127,DELHI-BANGLORE-EXPRESS,,,EXPRESS,18,8,6,2,1,113,4:00:00 PM,10:00:00 AM
11128,BANGLORE-DELHI-EXPRESS,,,EXPRESS,18,8,6,2,1,114,4:00:00 PM,10:00:00 AM
11129,DELHI-HYD-EXPRESS,,,EXPRESS,17,8,6,2,1,115,5:00:00 PM,10:00:00 AM
11130,HYD-DELHI-EXPRESS,,,EXPRESS,17,8,6,2,1,116,5:00:00 PM,10:00:00 AM
11131,MUMBAI-HYD-EXPRESS,,,EXPRESS,12,8,6,2,1,117,9:00:00 PM,9:00:00 AM
11132,HYD-MUMBAI-EXPRESS,,,EXPRESS,12,8,6,2,1,118,9:00:00 PM,9:00:00 AM
11133,MUMBAI-BANGLORE-EXPRESS,,,EXPRESS,12,8,6,2,1,119,9:00:00 PM,9:00:00 AM
11134,BANGLORE-MUMBAI-EXPRESS,,,EXPRESS,12,8,6,2,1,120,9:00:00 PM,9:00:00 AM
11135,DELHI-MUMBAI-EXPRESS,,,SUPERFAST,15,4,6,4,1,111,6:00:00 PM,9:00:00 AM
11136,MUMBAI-DELHI-EXPRESS,,,SUPERFAST,15,4,6,4,1,112,6:00:00 PM,9:00:00 AM
