Passenger_Id,Train_no,Journey_date,Class,Seat_no,Price
100004,11133,1-May-20,1AC,1,2362
100005,11126,18-Feb-20,1AC,1,2407
100006,11126,27-Mar-20,1AC,1,2245
100007,11134,13-Feb-20,1AC,1,2140
100012,11135,17-Feb-20,1AC,1,2043
100015,11119,27-Jan-20,1AC,2,2798
100017,11117,22-Feb-20,1AC,1,2481
100018,11116,20-May-20,1AC,1,2421
100020,11127,4-Apr-20,1AC,1,2365
100012,11172,31-Jan-20,1AC,1,2362
100014,11131,14-Feb-20,1AC,1,2407
100018,11134,26-Feb-20,1AC,1,2245
100012,11172,20-Mar-20,1AC,1,2140
100011,11150,7-Feb-20,1AC,1,2043
100017,11115,29-Feb-20,1AC,2,2798
100013,11114,25-Mar-20,1AC,1,2481
100012,11139,4-Apr-20,1AC,1,2421
100018,11167,26-Apr-20,1AC,1,2365
100016,11167,18-Jan-20,1AC,1,2362
100020,11121,3-Mar-20,1AC,1,2407
100019,11150,2-Apr-20,1AC,1,2245
100011,11125,7-May-20,1AC,1,2140
100020,11161,24-May-20,1AC,1,2043
100017,11113,6-Jun-20,1AC,2,2798
100016,11145,6-Jan-20,1AC,1,2481
100014,11141,7-Mar-20,1AC,1,2421
100019,11131,24-Apr-20,1AC,1,2365
100001,11114,25-May-20,2AC,2,1598
100005,11112,18-May-20,2AC,2,1930
100007,11121,3-Mar-20,2AC,1,1869
100010,11114,10-Mar-20,2AC,1,1713
100011,11113,4-May-20,2AC,1,1823
100014,11114,21-May-20,2AC,1,1668
100014,11128,21-Jun-20,2AC,3,1931
100015,11120,12-May-20,2AC,1,1553
100016,11126,25-May-20,2AC,2,2000
100017,11132,19-May-20,2AC,2,1815
100017,11115,26-Jun-20,2AC,4,1902
100018,11113,21-Apr-20,2AC,1,1843
100019,11119,18-Mar-20,2AC,1,2391
100020,11131,8-Mar-20,2AC,2,2324
100011,11134,3-Jan-20,2AC,2,1598
100012,11121,21-Feb-20,2AC,2,1930
100016,11151,28-Mar-20,2AC,1,1869
100011,11120,8-Apr-20,2AC,1,1713
100014,11172,11-May-20,2AC,1,1823
100011,11167,24-May-20,2AC,1,1668
100011,11161,20-Jun-20,2AC,3,1931
100015,11163,14-Feb-20,2AC,1,1553
100019,11160,19-Feb-20,2AC,2,2000
100020,11116,20-Feb-20,2AC,2,1815
100012,11126,27-Feb-20,2AC,4,1902
100015,11154,8-May-20,2AC,1,1843
100017,11136,8-Jun-20,2AC,1,2391
100020,11119,21-Jun-20,2AC,2,2324
100012,11167,17-Jan-20,2AC,2,1598
100019,11148,27-Feb-20,2AC,2,1930
100015,11173,10-Mar-20,2AC,1,1869
100014,11133,30-Mar-20,2AC,1,1713
100012,11174,23-May-20,2AC,1,1823
100014,11138,16-Jun-20,2AC,1,1668
100017,11137,23-Jun-20,2AC,3,1931
100011,11136,3-Feb-20,2AC,1,1553
100016,11121,25-Mar-20,2AC,2,2000
100018,11160,14-Apr-20,2AC,2,1815
100012,11116,16-Apr-20,2AC,4,1902
100018,11120,18-May-20,2AC,1,1843
100014,11169,24-May-20,2AC,1,2391
100012,11119,30-Jun-20,2AC,2,2324
100001,11122,27-Apr-20,3AC,1,1389
100001,11114,10-May-20,3AC,4,1214
100004,11123,17-Jun-20,3AC,5,1417
100005,11133,27-Jan-20,3AC,5,1069
100005,11133,16-Apr-20,3AC,6,1109
100007,11125,22-Feb-20,3AC,1,1255
100011,11119,27-Feb-20,3AC,4,1899
100013,11112,20-Jan-20,3AC,1,1255
100016,11118,20-May-20,3AC,6,1381
100017,11116,14-Feb-20,3AC,3,1398
100018,11126,6-May-20,3AC,6,1235
100019,11119,30-Jun-20,3AC,3,1899
100016,11122,10-Jan-20,3AC,1,1389
100017,11133,21-Jan-20,3AC,4,1214
100013,11139,22-Jan-20,3AC,5,1417
100013,11175,24-Jan-20,3AC,5,1069
100014,11121,5-Mar-20,3AC,6,1109
100013,11169,15-Mar-20,3AC,1,1255
100016,11122,6-May-20,3AC,4,1899
100012,11151,12-Jun-20,3AC,1,1255
100018,11113,8-Jan-20,3AC,6,1381
